У нее нет ничего, чего стоит стыдиться  
Она интересный человек, с которым можно поговорить (с ней интересно общаться)
У меня есть некоторые [some] новости, которыми надо поделиться (share)
Он хороший человек, с которым стоит дружить (с ним хорошо дружить)
Нет ничего, о чем стоит сожалеть (feel sorry) (не о чем жалеть)
Нет ничего, чем стоит гордиться (be proud of)
У меня кое-что [something], при помощи [with] чего можно впечатлить тебя
у него нет машины, которой можно впечатлять женщин
Я знаю самый лучший способ [way], чтобы разобраться с этим. (deal with it)
Мы не имеем ничего, что стоит поделать (do)
Нет компаний, в которые стоило бы инвестировать
Нет программ [software], которые можно установить (объявление в компьютере)
Нет ничего, чего стоит бояться (be afraid of)
Эта книга дала мне много [a lot], о чем можно подумать
Нет ничего, о чем можно спорить (argue) (здесь не о чем спорить)
Нет ничего, что можно посмотреть по ТВ (watch on TV)
